timestamp,test-class,test-method,time,description,result
2021-06-02 13:29:42.175,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,9782,"[1] recordIndex=0, title=T, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",OK
2021-06-02 13:29:52.02,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,9472,"[2] recordIndex=0, title=TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTe, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",OK
2021-06-02 13:30:01.332,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,8972,"[3] recordIndex=9, title=TareaTEST3, start=2021/11/09 00:00, end=2021/12/18 18:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:30:11.075,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,9363,"[4] recordIndex=9, title=TareaTEST4, start=2021/11/09 00:00, end=2021/12/18 18:00, workload=1.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:30:17.67,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,6201,"[5] recordIndex=3, title=TareaTEST5, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=EsAlgoestoEsAlgEsAlgoestoEsAlgoeoestoEsAlgoestoEsAlgoe, optionalLink=null",Expected value 'TareaTEST5' in attribute 0 of record 3, but found 'Tarea 8'
2021-06-02 13:30:27.56,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,9532,"[6] recordIndex=2, title=TareaTEST6, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",OK
2021-06-02 13:30:33.719,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5698,"[1] recordIndex=0, title=null, start=null, end=null, workload=null, description=null, optionalLink=null",OK
2021-06-02 13:30:39.852,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5713,"[2] recordIndex=1, title=null, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:30:46.151,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5875,"[3] recordIndex=2, title=TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTest, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:30:52.427,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5827,"[4] recordIndex=3, title=viagraTEST, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:30:58.639,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5840,"[5] recordIndex=4, title=TareaTEST2, start=null, end=2021/12/18 18:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:31:04.816,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5726,"[6] recordIndex=5, title=TareaTEST3, start=2018/07/10 00:00, end=null, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:31:10.947,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5745,"[7] recordIndex=6, title=TareaTEST3, start=2018/07/10 00:00, end=2018/07/09 18:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:31:16.984,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5727,"[8] recordIndex=7, title=TareaTEST4, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=null, description=esto es algo, optionalLink=null",OK
2021-06-02 13:31:22.953,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5607,"[9] recordIndex=8, title=TareaTEST4, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=0.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:31:29.03,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5735,"[10] recordIndex=9, title=TareaTEST4, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=-1.00, description=esto es algo, optionalLink=null",OK
